id,flavor_name,category,ingredients,sugar_g_per_serving,fat_g_per_serving,calories_per_serving,allergens,health_risk,description
383,Lemon Swirl,Classic,"cocoa powder, milk, food coloring, caramel syrup, butter, fruit puree",17,10,305,Soy,High sugar intake may increase risk of diabetes,A delicious lemon swirl ice cream with rich taste and smooth creamy texture.
384,Marshmallow Cream,Nut,"sugar, vanilla extract, natural flavor, honey, chocolate chips, fruit puree, roasted nuts",28,17,227,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious marshmallow cream ice cream with rich taste and smooth creamy texture.
385,Chocolate Fusion,Classic,"food coloring, fruit puree, milk, cocoa powder, butter",16,20,323,Gluten,High fat content may contribute to obesity,A delicious chocolate fusion ice cream with rich taste and smooth creamy texture.
386,Raspberry Swirl,Candy,"food coloring, roasted nuts, vanilla extract, cocoa powder, butter, chocolate chips, caramel syrup",21,15,202,Milk,Nut allergens may cause allergic reactions,A delicious raspberry swirl ice cream with rich taste and smooth creamy texture.
387,Hazelnut Blast,Candy,"cookie crumbs, brown sugar, cream, wafer pieces, milk, condensed milk",33,19,196,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious hazelnut blast ice cream with rich taste and smooth creamy texture.
388,Mocha Blast,Candy,"brown sugar, condensed milk, corn syrup, vanilla extract, cream, wafer pieces",15,5,279,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious mocha blast ice cream with rich taste and smooth creamy texture.
389,Papaya Fusion,Classic,"honey, cream, butter, sugar, caramel syrup, roasted nuts, brown sugar",30,14,189,Gluten,Nut allergens may cause allergic reactions,A delicious papaya fusion ice cream with rich taste and smooth creamy texture.
390,Saffron Blast,Healthy,"food coloring, butter, vanilla extract, salt, cream, corn syrup, brown sugar",35,12,203,Gluten,Nut allergens may cause allergic reactions,A delicious saffron blast ice cream with rich taste and smooth creamy texture.
391,Walnut Delight,Chocolate,"roasted nuts, cocoa powder, milk, honey, natural flavor",35,7,272,Peanuts,High calorie dessert – consume moderately,A delicious walnut delight ice cream with rich taste and smooth creamy texture.
392,Pineapple Blast,Classic,"sugar, food coloring, salt, condensed milk, chocolate chips, cocoa powder",32,12,258,None,High fat content may contribute to obesity,A delicious pineapple blast ice cream with rich taste and smooth creamy texture.
393,Mint Delight,Exotic,"chocolate chips, honey, fruit puree, caramel syrup, food coloring",32,6,297,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious mint delight ice cream with rich taste and smooth creamy texture.
394,Honey Delight,Nut,"milk, salt, corn syrup, fruit puree, sugar, chocolate chips, cocoa powder",27,20,201,Peanuts,Artificial colors may cause mild sensitivity,A delicious honey delight ice cream with rich taste and smooth creamy texture.
395,Pineapple Fusion,Classic,"natural flavor, sugar, cookie crumbs, cream, caramel syrup, roasted nuts",15,11,294,Milk,High sugar intake may increase risk of diabetes,A delicious pineapple fusion ice cream with rich taste and smooth creamy texture.
396,Cotton Candy Dream,Fruit,"chocolate chips, brown sugar, vanilla extract, fruit puree, cream, cocoa powder, honey",27,15,332,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious cotton candy dream ice cream with rich taste and smooth creamy texture.
397,Blueberry Dream,Candy,"wafer pieces, honey, roasted nuts, sugar, butter, natural flavor, milk, chocolate chips",22,19,272,None,Nut allergens may cause allergic reactions,A delicious blueberry dream ice cream with rich taste and smooth creamy texture.
398,Bubblegum Delight,Exotic,"cocoa powder, chocolate chips, wafer pieces, milk, condensed milk, food coloring, fruit puree, honey",22,7,230,Soy,High fat content may contribute to obesity,A delicious bubblegum delight ice cream with rich taste and smooth creamy texture.
399,Orange Cream,Exotic,"cream, honey, sugar, chocolate chips, cocoa powder, cookie crumbs, roasted nuts, brown sugar",24,13,257,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious orange cream ice cream with rich taste and smooth creamy texture.
400,Vanilla Delight,Nut,"fruit puree, butter, natural flavor, brown sugar, cocoa powder",18,15,321,Soy,High sugar intake may increase risk of diabetes,A delicious vanilla delight ice cream with rich taste and smooth creamy texture.
401,Marshmallow Blast,Fruit,"sugar, roasted nuts, caramel syrup, milk, wafer pieces, chocolate chips, food coloring, salt",28,20,349,Soy,High calorie dessert – consume moderately,A delicious marshmallow blast ice cream with rich taste and smooth creamy texture.
402,Raspberry Fusion,Classic,"corn syrup, natural flavor, sugar, condensed milk, cream",35,9,291,Nuts,Nut allergens may cause allergic reactions,A delicious raspberry fusion ice cream with rich taste and smooth creamy texture.
403,Cotton Candy Dream,Healthy,"fruit puree, cookie crumbs, sugar, milk, brown sugar, wafer pieces, roasted nuts",32,13,187,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious cotton candy dream ice cream with rich taste and smooth creamy texture.
404,Red Velvet Delight,Classic,"natural flavor, caramel syrup, wafer pieces, butter, roasted nuts, vanilla extract, honey, food coloring",32,17,222,None,High calorie dessert – consume moderately,A delicious red velvet delight ice cream with rich taste and smooth creamy texture.
405,Red Velvet Delight,Fruit,"food coloring, salt, cream, roasted nuts, milk, butter",30,14,334,Gluten,High fat content may contribute to obesity,A delicious red velvet delight ice cream with rich taste and smooth creamy texture.
406,Honey Swirl,Classic,"milk, fruit puree, butter, cocoa powder, honey, natural flavor, cream",16,10,242,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious honey swirl ice cream with rich taste and smooth creamy texture.
407,Coffee Cream,Exotic,"condensed milk, chocolate chips, salt, sugar, cocoa powder",17,5,291,Soy,High calorie dessert – consume moderately,A delicious coffee cream ice cream with rich taste and smooth creamy texture.
408,Bubblegum Dream,Premium,"chocolate chips, cream, milk, cocoa powder, sugar, salt, brown sugar, natural flavor",29,6,294,None,Nut allergens may cause allergic reactions,A delicious bubblegum dream ice cream with rich taste and smooth creamy texture.
409,Blackberry Fusion,Chocolate,"condensed milk, food coloring, brown sugar, cream, roasted nuts, natural flavor, chocolate chips",18,7,304,None,Nut allergens may cause allergic reactions,A delicious blackberry fusion ice cream with rich taste and smooth creamy texture.
410,Cardamom Swirl,Candy,"fruit puree, caramel syrup, brown sugar, cookie crumbs, butter, cocoa powder",21,19,267,Gluten,Nut allergens may cause allergic reactions,A delicious cardamom swirl ice cream with rich taste and smooth creamy texture.
411,Almond Fusion,Exotic,"vanilla extract, cookie crumbs, cream, corn syrup, milk",31,15,279,Milk,High sugar intake may increase risk of diabetes,A delicious almond fusion ice cream with rich taste and smooth creamy texture.
412,Pineapple Cream,Classic,"condensed milk, brown sugar, natural flavor, butter, cocoa powder, corn syrup, salt, caramel syrup",15,19,242,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious pineapple cream ice cream with rich taste and smooth creamy texture.
413,Matcha Dream,Chocolate,"salt, cream, food coloring, natural flavor, honey",28,15,247,Milk,High sugar intake may increase risk of diabetes,A delicious matcha dream ice cream with rich taste and smooth creamy texture.
414,Saffron Fusion,Chocolate,"honey, cream, vanilla extract, food coloring, caramel syrup, milk, fruit puree, sugar",31,13,216,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious saffron fusion ice cream with rich taste and smooth creamy texture.
415,Lemon Fusion,Chocolate,"food coloring, honey, condensed milk, cocoa powder, milk, caramel syrup",16,10,264,None,High sugar intake may increase risk of diabetes,A delicious lemon fusion ice cream with rich taste and smooth creamy texture.
416,Blackberry Delight,Healthy,"roasted nuts, fruit puree, cookie crumbs, honey, chocolate chips",21,15,195,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious blackberry delight ice cream with rich taste and smooth creamy texture.
417,Marshmallow Fusion,Fruit,"milk, salt, roasted nuts, brown sugar, food coloring",18,10,244,Nuts,High sugar intake may increase risk of diabetes,A delicious marshmallow fusion ice cream with rich taste and smooth creamy texture.
418,Matcha Swirl,Nut,"chocolate chips, cream, natural flavor, sugar, condensed milk, corn syrup",32,5,192,Milk,High calorie dessert – consume moderately,A delicious matcha swirl ice cream with rich taste and smooth creamy texture.
419,Honey Cream,Candy,"fruit puree, brown sugar, cookie crumbs, cream, natural flavor, sugar, wafer pieces, milk",33,8,326,Soy,Nut allergens may cause allergic reactions,A delicious honey cream ice cream with rich taste and smooth creamy texture.
420,Kitkat Delight,Candy,"cream, food coloring, brown sugar, caramel syrup, cocoa powder",23,20,310,Gluten,High calorie dessert – consume moderately,A delicious kitkat delight ice cream with rich taste and smooth creamy texture.
421,Pistachio Swirl,Candy,"butter, cocoa powder, natural flavor, honey, vanilla extract, condensed milk, milk",32,11,309,Nuts,High fat content may contribute to obesity,A delicious pistachio swirl ice cream with rich taste and smooth creamy texture.
422,Lavender Dream,Healthy,"fruit puree, sugar, wafer pieces, honey, roasted nuts, caramel syrup, vanilla extract",17,17,199,Peanuts,High fat content may contribute to obesity,A delicious lavender dream ice cream with rich taste and smooth creamy texture.
423,Coffee Cream,Fruit,"cookie crumbs, roasted nuts, milk, cocoa powder, natural flavor",15,8,223,None,Nut allergens may cause allergic reactions,A delicious coffee cream ice cream with rich taste and smooth creamy texture.
424,Guava Blast,Classic,"honey, vanilla extract, salt, butter, food coloring, caramel syrup",26,5,332,None,High fat content may contribute to obesity,A delicious guava blast ice cream with rich taste and smooth creamy texture.
425,Banana Cream,Candy,"food coloring, roasted nuts, butter, cocoa powder, fruit puree",26,6,180,Peanuts,High calorie dessert – consume moderately,A delicious banana cream ice cream with rich taste and smooth creamy texture.
426,Lychee Fusion,Fruit,"brown sugar, roasted nuts, butter, condensed milk, fruit puree, natural flavor, caramel syrup, cream",16,20,223,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious lychee fusion ice cream with rich taste and smooth creamy texture.
427,Dragon Fruit Delight,Fruit,"natural flavor, corn syrup, cookie crumbs, salt, cocoa powder, sugar, condensed milk, milk",18,13,211,None,High fat content may contribute to obesity,A delicious dragon fruit delight ice cream with rich taste and smooth creamy texture.
428,Mango Delight,Premium,"wafer pieces, natural flavor, sugar, honey, condensed milk, cookie crumbs, food coloring, corn syrup",33,16,328,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious mango delight ice cream with rich taste and smooth creamy texture.
429,Hazelnut Fusion,Exotic,"food coloring, caramel syrup, chocolate chips, sugar, salt, fruit puree",19,18,183,Milk,High sugar intake may increase risk of diabetes,A delicious hazelnut fusion ice cream with rich taste and smooth creamy texture.
430,Cardamom Blast,Chocolate,"brown sugar, chocolate chips, cocoa powder, salt, caramel syrup, sugar, honey, condensed milk",27,10,180,None,Artificial colors may cause mild sensitivity,A delicious cardamom blast ice cream with rich taste and smooth creamy texture.
431,Marshmallow Dream,Premium,"wafer pieces, caramel syrup, vanilla extract, cream, brown sugar, salt, chocolate chips",18,10,301,None,High sugar intake may increase risk of diabetes,A delicious marshmallow dream ice cream with rich taste and smooth creamy texture.
432,Hazelnut Dream,Premium,"condensed milk, natural flavor, honey, vanilla extract, wafer pieces",26,17,207,Nuts,Artificial colors may cause mild sensitivity,A delicious hazelnut dream ice cream with rich taste and smooth creamy texture.
433,Lemon Fusion,Nut,"cookie crumbs, condensed milk, roasted nuts, honey, wafer pieces, cream, brown sugar, cocoa powder",16,10,253,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious lemon fusion ice cream with rich taste and smooth creamy texture.
434,Papaya Dream,Candy,"honey, corn syrup, cookie crumbs, condensed milk, fruit puree",23,10,299,Peanuts,High fat content may contribute to obesity,A delicious papaya dream ice cream with rich taste and smooth creamy texture.
435,Pistachio Cream,Premium,"butter, cocoa powder, milk, condensed milk, brown sugar",17,6,209,None,High fat content may contribute to obesity,A delicious pistachio cream ice cream with rich taste and smooth creamy texture.
436,Coffee Fusion,Nut,"fruit puree, condensed milk, butter, cookie crumbs, food coloring, chocolate chips, caramel syrup, cocoa powder",21,5,328,Soy,High calorie dessert – consume moderately,A delicious coffee fusion ice cream with rich taste and smooth creamy texture.
437,Dragon Fruit Delight,Healthy,"caramel syrup, cream, salt, roasted nuts, corn syrup, food coloring, condensed milk",17,13,249,Peanuts,High calorie dessert – consume moderately,A delicious dragon fruit delight ice cream with rich taste and smooth creamy texture.
438,Oreo Blast,Candy,"cream, sugar, brown sugar, caramel syrup, wafer pieces, butter, cookie crumbs",17,12,237,Milk,High sugar intake may increase risk of diabetes,A delicious oreo blast ice cream with rich taste and smooth creamy texture.
439,Walnut Delight,Nut,"food coloring, roasted nuts, honey, natural flavor, sugar",20,11,290,Milk,High calorie dessert – consume moderately,A delicious walnut delight ice cream with rich taste and smooth creamy texture.
440,Green Apple Delight,Candy,"brown sugar, caramel syrup, cookie crumbs, butter, chocolate chips, cocoa powder",17,18,251,Gluten,High calorie dessert – consume moderately,A delicious green apple delight ice cream with rich taste and smooth creamy texture.
441,Tiramisu Delight,Classic,"corn syrup, cookie crumbs, brown sugar, natural flavor, roasted nuts, wafer pieces",16,20,291,Nuts,Nut allergens may cause allergic reactions,A delicious tiramisu delight ice cream with rich taste and smooth creamy texture.
442,Blackberry Swirl,Exotic,"salt, natural flavor, chocolate chips, vanilla extract, food coloring, cream, fruit puree, honey",27,10,227,None,High sugar intake may increase risk of diabetes,A delicious blackberry swirl ice cream with rich taste and smooth creamy texture.
443,Saffron Swirl,Classic,"salt, caramel syrup, vanilla extract, food coloring, condensed milk, honey, cocoa powder, cream",19,10,190,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious saffron swirl ice cream with rich taste and smooth creamy texture.
444,Coconut Fusion,Healthy,"natural flavor, salt, cocoa powder, cookie crumbs, milk, caramel syrup",23,10,228,None,Artificial colors may cause mild sensitivity,A delicious coconut fusion ice cream with rich taste and smooth creamy texture.
445,Pistachio Delight,Exotic,"caramel syrup, natural flavor, chocolate chips, vanilla extract, roasted nuts",19,14,190,None,Contains dairy which may affect lactose intolerant individuals,A delicious pistachio delight ice cream with rich taste and smooth creamy texture.
446,Oreo Fusion,Chocolate,"corn syrup, butter, chocolate chips, cookie crumbs, roasted nuts, cocoa powder, wafer pieces, caramel syrup",18,9,220,None,High fat content may contribute to obesity,A delicious oreo fusion ice cream with rich taste and smooth creamy texture.
447,Cardamom Cream,Nut,"wafer pieces, corn syrup, sugar, fruit puree, brown sugar, vanilla extract, cocoa powder",26,14,195,Peanuts,Nut allergens may cause allergic reactions,A delicious cardamom cream ice cream with rich taste and smooth creamy texture.
448,Coffee Blast,Healthy,"corn syrup, honey, brown sugar, sugar, salt",24,8,337,Gluten,High calorie dessert – consume moderately,A delicious coffee blast ice cream with rich taste and smooth creamy texture.
449,Tiramisu Blast,Chocolate,"fruit puree, salt, caramel syrup, honey, chocolate chips, roasted nuts, cookie crumbs, butter",25,7,302,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious tiramisu blast ice cream with rich taste and smooth creamy texture.
450,Walnut Delight,Fruit,"chocolate chips, corn syrup, food coloring, natural flavor, cocoa powder, cream, fruit puree",19,6,280,Gluten,High sugar intake may increase risk of diabetes,A delicious walnut delight ice cream with rich taste and smooth creamy texture.
451,Vanilla Delight,Fruit,"corn syrup, cream, cookie crumbs, natural flavor, roasted nuts, honey, wafer pieces",24,17,223,Nuts,High calorie dessert – consume moderately,A delicious vanilla delight ice cream with rich taste and smooth creamy texture.
452,Passion Fruit Dream,Candy,"sugar, butter, honey, wafer pieces, roasted nuts, cookie crumbs",28,11,276,Soy,High fat content may contribute to obesity,A delicious passion fruit dream ice cream with rich taste and smooth creamy texture.
453,Butterscotch Delight,Healthy,"sugar, fruit puree, brown sugar, natural flavor, milk, cocoa powder, honey, vanilla extract",15,5,216,Milk,High calorie dessert – consume moderately,A delicious butterscotch delight ice cream with rich taste and smooth creamy texture.
454,Guava Cream,Classic,"cream, salt, fruit puree, vanilla extract, cookie crumbs, wafer pieces, natural flavor, milk",35,11,216,Soy,Artificial colors may cause mild sensitivity,A delicious guava cream ice cream with rich taste and smooth creamy texture.
455,Raspberry Delight,Classic,"caramel syrup, cookie crumbs, chocolate chips, salt, food coloring, honey, milk, butter",30,20,251,Peanuts,High fat content may contribute to obesity,A delicious raspberry delight ice cream with rich taste and smooth creamy texture.
456,Blueberry Dream,Exotic,"caramel syrup, cookie crumbs, wafer pieces, sugar, salt, butter, brown sugar, honey",23,17,298,Nuts,High sugar intake may increase risk of diabetes,A delicious blueberry dream ice cream with rich taste and smooth creamy texture.
457,Salted Caramel Fusion,Candy,"butter, brown sugar, cream, honey, cocoa powder, roasted nuts, wafer pieces",28,11,253,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious salted caramel fusion ice cream with rich taste and smooth creamy texture.
458,Almond Delight,Healthy,"sugar, cookie crumbs, salt, brown sugar, corn syrup",29,17,274,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious almond delight ice cream with rich taste and smooth creamy texture.
459,Chocolate Delight,Healthy,"butter, honey, wafer pieces, brown sugar, sugar, milk, vanilla extract",22,9,292,Gluten,High calorie dessert – consume moderately,A delicious chocolate delight ice cream with rich taste and smooth creamy texture.
460,Blueberry Cream,Fruit,"sugar, brown sugar, wafer pieces, caramel syrup, chocolate chips, butter",33,7,198,Milk,Nut allergens may cause allergic reactions,A delicious blueberry cream ice cream with rich taste and smooth creamy texture.
461,Blueberry Delight,Fruit,"corn syrup, vanilla extract, honey, cocoa powder, food coloring, roasted nuts, salt, cookie crumbs",26,18,221,Gluten,High sugar intake may increase risk of diabetes,A delicious blueberry delight ice cream with rich taste and smooth creamy texture.
462,Caramel Delight,Exotic,"brown sugar, chocolate chips, food coloring, fruit puree, butter, cookie crumbs, sugar",33,7,285,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious caramel delight ice cream with rich taste and smooth creamy texture.
463,Rose Delight,Nut,"milk, vanilla extract, brown sugar, cocoa powder, butter, fruit puree, honey",21,19,280,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious rose delight ice cream with rich taste and smooth creamy texture.
464,Coconut Swirl,Classic,"wafer pieces, natural flavor, chocolate chips, cookie crumbs, sugar, food coloring, corn syrup, vanilla extract",35,14,338,Peanuts,Artificial colors may cause mild sensitivity,A delicious coconut swirl ice cream with rich taste and smooth creamy texture.
465,Lemon Blast,Healthy,"chocolate chips, salt, sugar, vanilla extract, butter, honey, fruit puree",26,9,340,None,High sugar intake may increase risk of diabetes,A delicious lemon blast ice cream with rich taste and smooth creamy texture.
466,Tiramisu Delight,Chocolate,"butter, milk, honey, roasted nuts, caramel syrup, food coloring, cocoa powder",32,12,339,Soy,Nut allergens may cause allergic reactions,A delicious tiramisu delight ice cream with rich taste and smooth creamy texture.
467,Bubblegum Swirl,Candy,"butter, honey, corn syrup, cocoa powder, cream, caramel syrup",33,11,233,None,Contains dairy which may affect lactose intolerant individuals,A delicious bubblegum swirl ice cream with rich taste and smooth creamy texture.
468,Mocha Dream,Chocolate,"corn syrup, food coloring, caramel syrup, condensed milk, chocolate chips",33,7,315,Gluten,Artificial colors may cause mild sensitivity,A delicious mocha dream ice cream with rich taste and smooth creamy texture.
469,Pineapple Fusion,Nut,"corn syrup, brown sugar, butter, natural flavor, cream, salt, honey, milk",17,14,185,Nuts,Artificial colors may cause mild sensitivity,A delicious pineapple fusion ice cream with rich taste and smooth creamy texture.
470,Papaya Dream,Classic,"butter, natural flavor, chocolate chips, roasted nuts, fruit puree, brown sugar, condensed milk",33,19,193,Milk,Nut allergens may cause allergic reactions,A delicious papaya dream ice cream with rich taste and smooth creamy texture.
471,Salted Caramel Swirl,Chocolate,"honey, caramel syrup, salt, fruit puree, wafer pieces",16,7,323,Milk,Nut allergens may cause allergic reactions,A delicious salted caramel swirl ice cream with rich taste and smooth creamy texture.
472,Cherry Fusion,Exotic,"honey, butter, food coloring, roasted nuts, fruit puree",21,20,190,Peanuts,High fat content may contribute to obesity,A delicious cherry fusion ice cream with rich taste and smooth creamy texture.
473,Rose Swirl,Chocolate,"corn syrup, wafer pieces, salt, honey, condensed milk, fruit puree",18,17,311,Gluten,High fat content may contribute to obesity,A delicious rose swirl ice cream with rich taste and smooth creamy texture.
474,Guava Blast,Classic,"vanilla extract, cream, cocoa powder, salt, condensed milk, corn syrup",26,11,326,Soy,High fat content may contribute to obesity,A delicious guava blast ice cream with rich taste and smooth creamy texture.
475,Peach Fusion,Exotic,"sugar, fruit puree, natural flavor, caramel syrup, food coloring",35,8,324,Nuts,Artificial colors may cause mild sensitivity,A delicious peach fusion ice cream with rich taste and smooth creamy texture.
476,Mango Blast,Exotic,"salt, sugar, roasted nuts, food coloring, natural flavor, wafer pieces, milk",28,16,291,Soy,High fat content may contribute to obesity,A delicious mango blast ice cream with rich taste and smooth creamy texture.
477,Butterscotch Dream,Exotic,"cream, wafer pieces, roasted nuts, vanilla extract, chocolate chips",34,16,215,Milk,High calorie dessert – consume moderately,A delicious butterscotch dream ice cream with rich taste and smooth creamy texture.
478,Orange Dream,Classic,"corn syrup, fruit puree, salt, cookie crumbs, brown sugar, wafer pieces, food coloring, sugar",35,15,344,Gluten,High fat content may contribute to obesity,A delicious orange dream ice cream with rich taste and smooth creamy texture.
479,Butterscotch Dream,Candy,"caramel syrup, vanilla extract, honey, cookie crumbs, condensed milk, butter, milk",21,13,226,Soy,Artificial colors may cause mild sensitivity,A delicious butterscotch dream ice cream with rich taste and smooth creamy texture.
480,Brownie Cream,Premium,"sugar, cookie crumbs, fruit puree, food coloring, honey, corn syrup, roasted nuts, cream",31,7,293,Milk,High calorie dessert – consume moderately,A delicious brownie cream ice cream with rich taste and smooth creamy texture.
481,Coffee Delight,Chocolate,"cocoa powder, wafer pieces, vanilla extract, corn syrup, condensed milk, roasted nuts, chocolate chips, salt",15,9,261,Soy,High fat content may contribute to obesity,A delicious coffee delight ice cream with rich taste and smooth creamy texture.
482,Passion Fruit Dream,Fruit,"vanilla extract, condensed milk, roasted nuts, cocoa powder, cookie crumbs, brown sugar",32,18,196,Milk,High sugar intake may increase risk of diabetes,A delicious passion fruit dream ice cream with rich taste and smooth creamy texture.
483,Orange Swirl,Chocolate,"natural flavor, fruit puree, wafer pieces, roasted nuts, chocolate chips, butter",32,19,227,None,Contains dairy which may affect lactose intolerant individuals,A delicious orange swirl ice cream with rich taste and smooth creamy texture.
484,Marshmallow Fusion,Exotic,"roasted nuts, corn syrup, caramel syrup, natural flavor, honey, milk",28,12,349,Milk,Artificial colors may cause mild sensitivity,A delicious marshmallow fusion ice cream with rich taste and smooth creamy texture.
485,Honey Cream,Healthy,"honey, food coloring, butter, caramel syrup, cocoa powder, fruit puree, wafer pieces, condensed milk",27,11,242,Peanuts,Nut allergens may cause allergic reactions,A delicious honey cream ice cream with rich taste and smooth creamy texture.
486,Green Apple Blast,Exotic,"cocoa powder, cookie crumbs, roasted nuts, butter, cream",28,13,265,Soy,High sugar intake may increase risk of diabetes,A delicious green apple blast ice cream with rich taste and smooth creamy texture.
487,Walnut Fusion,Nut,"brown sugar, vanilla extract, fruit puree, natural flavor, milk, caramel syrup",16,5,227,None,Contains dairy which may affect lactose intolerant individuals,A delicious walnut fusion ice cream with rich taste and smooth creamy texture.
488,Guava Cream,Classic,"fruit puree, food coloring, sugar, brown sugar, roasted nuts, wafer pieces",30,7,228,None,Artificial colors may cause mild sensitivity,A delicious guava cream ice cream with rich taste and smooth creamy texture.
489,Lavender Fusion,Premium,"cream, honey, cocoa powder, cookie crumbs, food coloring, caramel syrup, wafer pieces",19,20,229,Soy,High calorie dessert – consume moderately,A delicious lavender fusion ice cream with rich taste and smooth creamy texture.
490,Passion Fruit Fusion,Classic,"caramel syrup, vanilla extract, cocoa powder, corn syrup, roasted nuts, milk, salt",18,9,292,Nuts,High calorie dessert – consume moderately,A delicious passion fruit fusion ice cream with rich taste and smooth creamy texture.
491,Guava Fusion,Candy,"sugar, fruit puree, milk, honey, condensed milk, natural flavor, chocolate chips",33,7,323,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious guava fusion ice cream with rich taste and smooth creamy texture.
492,Pineapple Swirl,Healthy,"vanilla extract, milk, cocoa powder, corn syrup, sugar, cream, cookie crumbs",16,20,196,Milk,Nut allergens may cause allergic reactions,A delicious pineapple swirl ice cream with rich taste and smooth creamy texture.
493,Mocha Fusion,Classic,"condensed milk, butter, cream, roasted nuts, fruit puree, chocolate chips, sugar, brown sugar",24,15,338,Gluten,Artificial colors may cause mild sensitivity,A delicious mocha fusion ice cream with rich taste and smooth creamy texture.
494,Banana Dream,Candy,"cocoa powder, caramel syrup, chocolate chips, natural flavor, cookie crumbs, cream",21,17,239,Nuts,Nut allergens may cause allergic reactions,A delicious banana dream ice cream with rich taste and smooth creamy texture.
495,Hazelnut Blast,Classic,"corn syrup, cocoa powder, food coloring, cookie crumbs, sugar, natural flavor, brown sugar",28,6,251,Peanuts,Artificial colors may cause mild sensitivity,A delicious hazelnut blast ice cream with rich taste and smooth creamy texture.
496,Cookies & Cream Swirl,Premium,"wafer pieces, roasted nuts, milk, corn syrup, brown sugar, salt, honey, fruit puree",16,7,272,None,High calorie dessert – consume moderately,A delicious cookies & cream swirl ice cream with rich taste and smooth creamy texture.
497,Peach Delight,Candy,"corn syrup, caramel syrup, wafer pieces, cream, brown sugar, chocolate chips",23,7,226,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious peach delight ice cream with rich taste and smooth creamy texture.
498,Dragon Fruit Dream,Chocolate,"wafer pieces, vanilla extract, caramel syrup, sugar, cookie crumbs, milk, condensed milk, chocolate chips",21,5,195,Soy,Nut allergens may cause allergic reactions,A delicious dragon fruit dream ice cream with rich taste and smooth creamy texture.
499,Fudge Blast,Nut,"caramel syrup, salt, butter, condensed milk, fruit puree, brown sugar",24,16,332,Soy,Artificial colors may cause mild sensitivity,A delicious fudge blast ice cream with rich taste and smooth creamy texture.
500,Dark Chocolate Delight,Exotic,"cocoa powder, natural flavor, corn syrup, brown sugar, milk, cream, honey, chocolate chips",22,14,237,Soy,Nut allergens may cause allergic reactions,A delicious dark chocolate delight ice cream with rich taste and smooth creamy texture.
501,Cardamom Blast,Chocolate,"vanilla extract, cream, cocoa powder, fruit puree, caramel syrup, food coloring",35,6,186,Soy,Nut allergens may cause allergic reactions,A delicious cardamom blast ice cream with rich taste and smooth creamy texture.
502,Matcha Blast,Fruit,"caramel syrup, fruit puree, vanilla extract, honey, chocolate chips",25,14,246,Nuts,High sugar intake may increase risk of diabetes,A delicious matcha blast ice cream with rich taste and smooth creamy texture.
503,Lavender Swirl,Candy,"wafer pieces, caramel syrup, cocoa powder, food coloring, condensed milk, salt",29,13,237,Peanuts,High sugar intake may increase risk of diabetes,A delicious lavender swirl ice cream with rich taste and smooth creamy texture.
504,Papaya Cream,Fruit,"food coloring, corn syrup, sugar, condensed milk, wafer pieces, vanilla extract",34,17,317,Gluten,High fat content may contribute to obesity,A delicious papaya cream ice cream with rich taste and smooth creamy texture.
505,Pineapple Cream,Candy,"condensed milk, wafer pieces, vanilla extract, sugar, chocolate chips",19,6,292,Milk,Nut allergens may cause allergic reactions,A delicious pineapple cream ice cream with rich taste and smooth creamy texture.
506,Green Apple Swirl,Chocolate,"sugar, cocoa powder, milk, cookie crumbs, roasted nuts, vanilla extract",17,17,336,Nuts,Nut allergens may cause allergic reactions,A delicious green apple swirl ice cream with rich taste and smooth creamy texture.
507,Hazelnut Delight,Premium,"condensed milk, cream, vanilla extract, chocolate chips, food coloring, caramel syrup, salt, milk",15,19,181,Peanuts,Nut allergens may cause allergic reactions,A delicious hazelnut delight ice cream with rich taste and smooth creamy texture.
508,Salted Caramel Fusion,Fruit,"salt, caramel syrup, cookie crumbs, natural flavor, corn syrup, cocoa powder, vanilla extract",32,20,239,Soy,High fat content may contribute to obesity,A delicious salted caramel fusion ice cream with rich taste and smooth creamy texture.
509,Mint Fusion,Premium,"condensed milk, caramel syrup, cream, brown sugar, honey, butter, chocolate chips, salt",21,6,242,Milk,Artificial colors may cause mild sensitivity,A delicious mint fusion ice cream with rich taste and smooth creamy texture.
